Date,Country,Confirmed,Deaths,Recovered,,,,,
22/1/2020,China,5509,131,101,,,,,
29/1/2020,China,23707,491,843,,,,,
4/2/2020,China,44386,1112,4636,,,,,
11/2/2020,China,74211,2003,14206,,,,,
18/2/2020,China,77754,2665,27676,,,,,
25/2/2020,China,80261,2947,47450,,,,,
3/3/2020,China,80887,3139,60181,,,,,
10/3/2020,China,81058,3230,68798,,,,,
17/3/2020,China,81591,3281,73280,,,,,
24/3/2020,China,82198,3308,73923,,,,,
31/3/2020,China,82279,3309,73973,,,,,
7/4/2020,China,82718,3335,75110,,,,,
14/4/2020,China,83306,3345,75833,,,,,
21/4/2020,China,83853,4636,75862,,,,,
